doc_content,doc_title,doc_section,doc_chapter,content_root1,content_root2,content_root3,content_root4,content_root5,content_root6,doc_index,doc_order
" Standards ofthe American Society for Testingand C 150-89 Materials referred tointhisCodeare listed below with their C 172-90 serial designations, including year ofadoption orrevision, C 192-90a Standard Methodof Making andCuring and are declared to be part of this Code asiffully set forth herein. C 260-86 A 36/ Standard Specification for Structural Steel C289-81 A36M-90 A 53-90a Standard Specification for Weldedand C494-86 Stainless Steel Pipe A 82-90a Standard Specification forCold-Drawn Steel Wire forConcrete Reinforcement C595-89 A 184/ Standard Specification forFabricated Deformed A184M-90 Steel Bar Mats forConcrete C597-83 Reinforcement (1991) C618-89a A 185-90a Standard Specification forWeldedSteel WireFabric for Concrete Reinforcement A242/ Standard Specification forHigh-StrengthLow-Alloy A242-89 Structural Steel C637-73 A416-90a Standard Specification for Uncoated Seven-Wire Stress-Rclieved Steel Strand for C685-90 Prestressed Concrete A421-90 Standard Specification for Uncoated Stress-Relieved C 1017-85 Steel Wire for Prestressed Concrete A496-90a Standard Specification for Deformed Steel Wire for C1218-92 StandardSpecification for Welded Deformed Steel WireFabric for Concrete Reinforcement StandardSpecificationforCold-Formed Welded and Seamless Carbon Steel Structural Tubing in Rounds and Shapes Standard Specification for Hot-Formed Weldedand SeamlessCarbon SteeI Structural Tubing Standard SpecificationforHigh-StrengthLow-Alloy Structural Quality StandardSpecification for High-Strength Low-Alloy Structural Steel with 50,000psi Minimum Yield Point to4 in. Thick Standard Specification for Deformed and Plain Billet-Steel Bars for Concrete Reinforcement Standard Specification forLow-Alloy Steel Standard Specification for Uncoated High-Strength Steel Bar for Prestressing Concrete Standard Method ofMaking andCuring Concrete Test Specimens theField Standard Specification for Concrete Aggregates Standard MethodofTest forCompressiveStrength ofCylindrical Concrete Specimens Standard MethodofObtainingandTestingDrilled Coresand Sawed Beams of Concrete Standard Method ofTestfor Soundness ofAggregates by UseofSodium Sulfate or Magnesium Sulfate Standard Specification for Ready-Mixed Concrete Standard Method ofTest forCompressive Strength ofHydraulic CementMortars(Using2-inch or 50mm Cube Specimens) Standard Test Methodfor Resistance to Degradation of Small-Size Coarse Aggregate by Abrasion and Impactin the Los Angeles Machine StandardSpecification for Aggregate for Masonry Mortar StandardSpecification for Portland Cement Standard Methodof Sampling Fresh Concrete Concrete TestSpecimensInthe Laboratory Standard Specification for Air-Entraining Admixturesfor Concrete Standard MethodofTest forPotential Reactivity ofAggregates (Chemical Method) Standard Specification for Chemical Admixturesfor Concrete Standard Specification for Blended Hydraulic Cements StandardTest Method forPulse Velocity through Concrete Standard Specification forFly Ash and Raw or Calcined Natural Pozzolan for Use asa Mineral Admixture in Portland CementConcrete Standard Specification for Aggregatesfor Radiation-ShieldingConcrete Standard Specification forConcrete Made by Volumetric Batching and ContinuousMixing Standard Specification for Chemical Admixtures for Usein Producing Flowing Concrete Standard Test Method for Water Soluble Chloride in Mortar and Concrete ",ACI_349_97 ,PART 2 -STANDARDS FOR TESTS AND MATERIALS,Chapter 3 -Materials,3.8  Standards cited inthis Code,3.8.1,,,,,,69
" ""Structural Welding Code- Reinforcing Steel"" (AWS D1.4-92) of the American Welding Society is declaredto bepart ofthis Codeas iffully set forth herein. 10 CFR50 ",ACI_349_97 ,PART 2 -STANDARDS FOR TESTS AND MATERIALS,Chapter 3 -Materials,3.8  Standards cited inthis Code,3.8.2,,,,,,70
" Requirements of the United States Nuclear Regulatory Commission referred to in this Code are listed below. Where applicable, they shall be considered a part of this 10CFR100 Code the same asiffully set forth elsewhere herein. Code ofFederal Regulations (Published by Officeofthe Federal Register) Domestic Licensing ofProduction and Utilization Facilities, Appendix B Quality Assurance Requirements for Nuclear Power Plants and Fuel Reprocessing Plants Reactor Site Criteria, AppendixA Seismic and GeologicSiting Criteria ",ACI_349_97 ,PART 2 -STANDARDS FOR TESTS AND MATERIALS,Chapter 3 -Materials,3.8  Standards cited inthis Code,3.8.3,,,,,,71
,ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,,,,,,,,,72
,ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,Chapter 4 -Durability Requirements,,,,,,,,73
"- -Notation f' = specified compressive strength of concrete, psi ",ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,Chapter 4 -Durability Requirements,4,,,,,,,74
,ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,Chapter 4 -Durability Requirements,4.1 --Water-cementitious materials ratio,,,,,,,75
" The water-cennentitious materialsratiosspecified in Tables4.2.2and4.3.1 shall becalculatedusing theweightof cement meeting ASTM C 150 or ASTM C 595 plus the weightoffly ashand other pozzolans meeting ASTMC618, except as noted in 5.4.2 and silica fume meeting ASTMC 1240, except as limited by 4.2.3. ",ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,Chapter 4 -Durability Requirements,4.1 --Water-cementitious materials ratio,4.1.1,,,,,,76
,ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,Chapter 4 -Durability Requirements,4.2  Freezing and thawing exposures,,,,,,,77
" Normal weight concrete exposed to freezing and thawing or deicer chemicals shall be air entrained with air contentindicated in Table 4.2.1. Tolerance on air content as delivered shall be 士 1.5 percent. For specified compressive strengthf's greaterthan 5000psi, aircontentindicatedinTable4.2.1 may be reduced 1 percent. Table 4.2.1-Total air content for frost-resistant concrete Nominal maximum Air content, percent aggregate size, in. Severe exposure Moderate exposure 3/ 7%2 6 1/ 7 5% 3/ 6 5 1 6 41/2 5'/2 41/2 2t 5 4 3t 41/2 3% See ASTM C33 for tolerance on oversize variousnominal maximum size designations. 1 Theseair contents applytototalmix as Iormeprecedingaggregatesizes. When testing these concretes, however, aggregate larger than 1% in. is removed by handpicking or sieving and air content is determined on the minus 1% fraction of mix(tolerance on air content as deliveredappliesto thisvalue.). Air content oftotal computedfromvalue determined onthe minus 1%in. fraction. Table 4.3.1-Requirements for concrete exposed to sulfate-containing solutions Watersoluble sulfate (SO4) soil, Sulfate(soa) Sulfate percentby inwater, exposure weight ppm Negligible 0.00-0.10 0-150 Moderatef II, IP(MS), IS(MS), P(MS), I(PM)(MS), 0.10-0.20 150-1500 Severe 0.20-2.00 1500-10,000 Very severe Over2.00 Over 10,000 Alower water-comentitious materialsratioorhigher strengthmaybe required for ingandthawing(Table4.2.2). Seawater. 4 ",ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,Chapter 4 -Durability Requirements,4.2  Freezing and thawing exposures,4.2.1,,,,,,78
" Concrete thatwill be subject to the exposures given in Table 4.2.2 shall conform to the corresponding maximum water-cennentitious materials ratios ofthattable. Inaddition, concrete thatwill be exposedtodeicing chemicals shall conform to the limitations of4.2.3. Table 42.2-Requirements for special exposure conditions Maximum water-cerrientitious materials ratio, Minimum fc by weight, normalweight normalweight aggregate aggregate concrete, Exposurecondition concrete psi Concrete intended10have low permeability whenexposed 0.50 4000 to water Concrete exposedtofreezing and thawing a moist condition or to deicing 0.45 4500 chemicals Forcorrosionprotection of reinforcement inconcrete exposed to chlorides from de-icing chemicals, salt, 0.40 5000 brackishwater, or spray fromthese sources. ",ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,Chapter 4 -Durability Requirements,4.2  Freezing and thawing exposures,4.2.2,,,,,,79
" For concreteexposed todeicing chemicals, the max1mum weight of flyash or other pozzolan thatis included in the calculation of water-cernentitious materials ratio shall not exceed the following percentages ofthe total weight of portland cement plus fly ash and otherpozzolans. The combined weight of fly ash and other pozzolan, conforming to ASTM C 618 and silica fume meeting ASTM C1240, shall not exceed 25 percent of the total weight ofcementitious materials. The fly ashand other pozzolan present in a Type 1P or 1PM blended cement, ASTM C.595, shall beincluded in the calculated percentage. ",ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,Chapter 4 -Durability Requirements,4.2  Freezing and thawing exposures,4.2.3,,,,,,80
,ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,Chapter 4 -Durability Requirements,4.3  Sulfate exposures,,,,,,,81
" Concrete to be exposed to sulfate-containing solutions orsoilsshall conform to requirementsofTable4.3.1 or be made with a cement that provides sulfate resistance and used in a concrete mix design with maximum water-cementitious materials ratio from Table 4.3.1. Maximum water-cementitious materials ratio, Minimum by weight, normal weight normal weight aggregate concrete, Cement type aggregate concrete"" psi* I(SM)(MS) 0.50 4000 v 0.45 4500 V pluspozzolan* 0.45 4500 permeabilityor protectionagainstcorrosionof embeddeditemsorfreez- concretecontaining Type v cement. ",ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,Chapter 4 -Durability Requirements,4.3  Sulfate exposures,4.3.1,,,,,,82
" Calcium chloride as an admixture shall not be used in concrete to be exposed to severe or very severe sulfatecontaining solutions, asdefined in Table 4.3.1. ",ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,Chapter 4 -Durability Requirements,4.3  Sulfate exposures,4.3.2,,,,,,83
,ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,Chapter 4 -Durability Requirements,4.4 -Corrosion protection of reinforcement,,,,,,,84
" For corrosion protection, maximum water soluble chloride ion concentrations in hardened concrete at ages from 28 to 42 days contributed from the ingredients including water, aggregates, cementitious materials, and admixturesshall not exceed the limits ofTable4.4.1. When testing isperformedt0 determinewatersolublechlorideioncontent, test procedures shall conformi toASTM C 1218. Table 4.4.1-Maximum chloride ion contentfor corrosion protection of reinforcement Maximum water soluble chloride ion (cr) in concrete, percent by weight Type of member ofcement Prestressedconcrete 0.06 Reinforced concrete exposedto chloride in service 0.15 ",ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,Chapter 4 -Durability Requirements,4.4 -Corrosion protection of reinforcement,4.4.1,,,,,,85
" Whenreinforced concretewill beexposedtodeicing salts, brackish water, seawater, orspray from these sources, requirements ofTable4.2.2forwater-cerrrentitious materials ratioand concrete strength, and theminimum concretecover requirements of7.7shall be satisfied. See 18.!14 for unbonded prestressing tendons. ",ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,Chapter 4 -Durability Requirements,4.4 -Corrosion protection of reinforcement,4.4.2,,,,,,86
,ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,"Chapter 5 Concrete Quality, Mixing, and Placing",,,,,,,,87
"- -Notation f' : specified compressive strength of concrete, psi ftr = required average compressivestrength ofconcrete used as the basis for selection of concrete proportions, psi $ = standard deviation of compressive strength, ps1 ",ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,"Chapter 5 Concrete Quality, Mixing, and Placing",5,,,,,,,88
,ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,"Chapter 5 Concrete Quality, Mixing, and Placing",5.1 -General,,,,,,,89
" Concreteshall be proportionedtoprovideanaverage compressive strength asprescribedin 5.3.2as well as satisfy the durability criteria of Chapter 4. Concrete shall be produced t0 minimize frequency of strengths belowJc as prescribed in 5.6.2.3, ",ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,"Chapter 5 Concrete Quality, Mixing, and Placing",5.1 -General,5.1.1,,,,,,90
 Requirementsforf' shall be based on testsofcylinders made and tested as prescribed in 5.6.2 ,ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,"Chapter 5 Concrete Quality, Mixing, and Placing",5.1 -General,5.1.2,,,,,,91
" Unless otherwise specified, f: shall be based on 28-day tests. Ifother than28 days, testageforf' shall beas indicated indesign drawingsor specifications. ",ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,"Chapter 5 Concrete Quality, Mixing, and Placing",5.1 -General,5.1.3,,,,,,92
